time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss
249856,18.63,-17.628201540000003,122,2,96170,0.00028828977,0.4720084071159363,0.0,15.185708963871003,1e-05,-0.0020414463040651755,1210,0.2,-3.4405836343765257,8.201576232910156
251904,18.59,-17.58820564,123,2,97210,0.00020268903,0.49346500635147095,0.0,14.070894104242324,1e-05,-0.0014018656554981134,1220,0.2,-3.4392722584307194,6.873337745666504
253952,19.03,-18.028160690000004,124,2,98228,0.00010487001,0.5064826011657715,0.0,13.646061652898789,1e-05,-0.0009674390166765079,1230,0.2,-3.4390873700380324,6.129763603210449
256000,18.45,-17.448219890000004,125,2,99273,0.00019030026,0.49219125509262085,0.0,14.806846341490745,1e-05,-0.001387284319207538,1240,0.2,-3.4374311208724975,6.835013389587402
258048,18.6,-17.598204630000005,126,2,100311,0.00022962893,0.5357016921043396,0.0,12.325897619128227,1e-05,-0.0015092097790329717,1250,0.2,-3.4319477431476115,3.922743320465088
260096,18.81,-17.808183160000002,127,2,101345,0.00010041546,0.5225506126880646,0.0,12.935406343638897,1e-05,-0.0009822182662901468,1260,0.2,-3.4360720813274384,5.813727378845215
262144,18.86,-17.858178000000002,128,2,102373,0.00018991253,0.5213638246059418,0.0,13.062888464331627,1e-05,-0.0012931765159009956,1270,0.2,-3.4339263297617437,5.984201431274414
264192,18.54,-17.538210760000002,129,2,103412,0.0003021437,0.5270869135856628,0.0,13.185227385163307,1e-05,-0.0018957348322146573,1280,0.2,-3.43232349678874,6.652318477630615
266240,18.86,-17.858178000000002,130,2,104439,0.00039462582,0.5570897161960602,0.0,11.80946733802557,1e-05,-0.0023390558832034,1290,0.2,-3.428066921234131,5.542949676513672
268288,18.68,-17.678196410000005,131,2,105472,0.00026050385,0.5477639436721802,0.0,12.486621570587157,1e-05,-0.001918939739698544,1300,0.2,-3.4250172540545463,3.775394916534424
270336,18.75,-17.74818927,132,2,106507,0.00019652117,0.561795562505722,0.0,11.878471332788468,1e-05,-0.0015785513569426257,1310,0.2,-3.4236219085752966,4.644505977630615
272384,18.79,-17.78818516,133,2,107534,0.00023104702,0.5665028393268585,0.0,11.833475242555142,1e-05,-0.0016004152872483245,1320,0.2,-3.418473071604967,6.376193523406982
274432,18.98,-17.978165810000004,134,2,108562,0.0002134667,0.571180671453476,0.0,11.784602662920951,1e-05,-0.001823939357564086,1330,0.2,-3.4156944423913957,5.591455936431885
276480,18.96,-17.958167860000003,135,2,109589,0.00026578546,0.5776534080505371,0.0,11.698527774214744,1e-05,-0.001424635418516118,1340,0.2,-3.4163719676434994,5.7232818603515625
278528,18.58,-17.578206620000003,136,2,110628,0.00017104263,0.5833221077919006,0.0,11.456796534359455,1e-05,-0.0013082517660222947,1350,0.2,-3.4151586003601553,4.6528096199035645
280576,18.89,-17.888174980000002,137,2,111657,0.0003966811,0.6194433867931366,0.00087890625,9.99855296611786,1e-05,-0.0022133556740300264,1360,0.2,-3.4133723422884943,3.5854990482330322
282624,18.11,-17.108254690000003,138,2,112706,0.0001429593,0.60501828789711,0.0,10.928354051709174,1e-05,-0.0014005467979586682,1370,0.2,-3.4143431752920153,6.252522945404053
284672,18.54,-17.53821078,139,2,113745,0.0002335796,0.6421093642711639,0.0,8.866237154603004,1e-05,-0.0015419066206959543,1380,0.2,-3.4060003228485582,3.5328338146209717
286720,18.8,-17.798184180000007,140,2,114772,0.00025201167,0.6353424191474915,0.0,9.55916053056717,1e-05,-0.0015642821650544646,1390,0.2,-3.4098868682980537,7.119010925292969
288768,18.48,-17.478216850000003,141,2,115809,0.00024283465,0.6247814297676086,0.0,10.434982016682625,1e-05,-0.0016484486157423816,1400,0.2,-3.4095883660018442,7.473550319671631
